Type,Hash,Name,Parameters,Return,ConversionKey,Conversion,NegatedConversion,ParseType,ParseRule,Notes
Action,0769C399,SaveUpdateDeviceID,,,,,,,,
Action,07B803B8,NpcSetFeelSource,FeelSource: int,,,,,,,
Action,07CB5DBF,WherearenSetHousemate,,,,,,,,
Action,0809ADEF,BroadcastDemoStart,,,,,,,,
Action,08240D45,SaveCampNpcQuestFtr,,,,,,,,
Action,0897148D,SelectRewardItemCampGame,CamperRewardType: str,,,,,,,
Action,08C40645,PlayerUnequipPresentBag,,,,,,,,
Action,08DDA2C8,NpcBalloonRequest,MessageID: str; AppearType: str; XLinkAction: str; DispFrame: int,,,,,,,
Action,09266D7E,BeginAsMovedOne,AfterReceivingData: bool,,,,,,,
Action,092C378A,SendPlayReportNNPCSelectTalkItem,SendTarget: int,,,,,,,
Action,09A136A0,NetWherearenUploadOpusData,,,,,,,,
Action,09D9C362,NpcAITalkCastSetting,SetupKey: str,,,,,,,
Action,09FC650E,UIVersionGuideDisappear,OutType: str,,,,,,,
Action,0A1AACB8,CheckFreeCommunication,isShowUI: bool,,,,,,,
Action,0A293EFC,SubPlayerToolPutawayForLive,,,,,,,,
Action,0A2FAE2D,ReserveRegulation,ReserveRegulationType: str,,,,,,,
Action,0AC16049,NetCheckProfileBan,IsSkipError: bool,,,,,,,
Action,0AF9EB1A,ControllerConnectTimerClose,,,,,,,,
Action,0B117D9C,UIWherearenInspectUserWaitManipulate,,,,,,,,
Action,0B7D3DC4,UIClosetBalloonDisappear,,,,,,,,
Action,0BDB60BD,ChangeIsControlThemeBalloon,Request: bool,,,,,,,
Action,0BEA7FBD,UIClosetHandling,,,,,,,,
Action,0BF62104,SloDecideReward,RewardType: int,,,,,,,
Action,0C4EB90B,ChangeCommuneDecoFortuneState,NextState: str,,,,,,,
Action,0CC8A616,AddMemoryEventPlayerForNpc,Key: str,,,,,,,
Action,0CCBAF6B,WherearenTodayFlagOn,FlagName: str,,,,,,,
Action,0D0F4235,SetChristmasWreathGetYear,,,,,,,,
Action,0DC34792,NpcTreasureQuestSetting,,,,,,,,
Action,0EE0E737,PlayerBirthdayRestoreBGM,,,,,,,,
Action,0F56A2CC,PlayerStickLightNewYear,,,,,,,,
Action,0F60ED77,TkkLiveNpcSitDown,,,,,,,,
Action,0F6A9B34,SetIslandRubyType,IslandRubyType: str,,,,,,,
Action,0F70933A,NetCancelDownloadDream,,,,,,,,
Action,0F758AB9,UIWherearenInspectFollowListHandling,,,,,,,,
Action,0FF9EF08,KppBarcarollePrepare,SongType: str,,,,,,,
Action,108E5115,WherearenCheckGradeUp,,,,,,,,
Action,10A64EA8,ChangeSwitchIdrDreamAromaPot,IsOn: bool,,,,,,,
Action,10D5601E,NpcRumorDecidePlayer,RumorPlayerSelectType: str,,,,,,,
Action,111F56ED,NpcOpenTradeBanReasonMessage,,,,,,,,
Action,114A3513,DeletePreviewStructure,StructureType: str; StructureBuildPosType: str,,,,,,,
Action,11BC470E,PlayerOpenFishGetMessage,,,,,,,,
Action,11C47F71,ReturnToPocketFutureMailPresent,,,,,,,,
Action,11DF781A,CreateChoiceMailDestination,IsNoCancel: bool,,,,,,,
Action,12331091,LifeSupportPointCountDown,Point: int; Reverse: bool,,,,,,,
Action,1243A626,NetForceQuitSession,,,,,,,,
Action,126717DF,CommuneMailSend,FromType: str; FileIndex: str; LabelIndex: int; TagType: str; Route: str; Present: str,,,,,,,
Action,128BC0E3,SetTagMoveInPlayerInfo,IdLandName: int; IdPlayerName: int,,,,,,,
Action,12CCA869,UILostListHandling,,,,,,,,
Action,1378332A,UIShopBuyHandling,ItemBitType: str,,,,,,,
Action,137D1541,PlayerPurchaseBoxThinking,,,,,,,,
Action,13E0771D,PlayerCookingPutaway,,,,,,,,
Action,13ED65AF,UIDreamFavoriteListHandling,,,,,,,,
Action,14047F79,UIWherearenWorkCoordinateEditHandling,WherearenWorkCoordinateType: str,,,,,,,
Action,1411FEE9,PynAddExchangeItem,,,,,,,,
Action,1429A0CA,SaveUnregisterMoveInPlayerBuffer,,,,,,,,
Action,143C45D0,WherearenSetTagCustomerNpcName,IsHousemate: bool; ID: int,,,,,,,
Action,14543A56,CommunePublicWorksTag,TagID: int; CommuneDonationType: str,,,,,,,
Action,14C79F5F,TurnOnEventPlazaDuckingJudge,,,,,,,,
Action,15BDAFC3,StartupMailSend,VersionUp: bool; BundledEdition: bool; AoC: bool,,,,,,,
Action,166F85A1,ReserveEnterGardenPattern,Pattern: int,,,,,,,
Action,172CB557,UIConstructionPortfolioSNSShareHandling,,,,,,,,
Action,175186C9,NetWherearenReply,Kind: str,,,,,,,
Action,1767DD1E,NetWherearenUploadProfile,IsSkipError: bool; IsForce: bool,,,,,,,
Action,17ED9142,RequestStartPeriodicalFireworks,,,,,,,,
Action,180B4525,SoundDisable,AssetKeyName: str; Span: int,,,,,,,
Action,18206143,NpcEnter,NextInfoKey: str; Distance: int; OffsetX: float,,,,,,,
Action,1878A30E,UIMiniGameTimerAppear,Time: int; CounterUIType: str,,,,,,,
Action,18D54E2C,NetEnterDream,,,,,,,,
Action,195248A8,CreateMuseumCafeAmiiboNpc,,,,,,,,
Action,195D36D9,SystemSetTagRadioPlayMusic,,,,,,,,
Action,1964F775,SetDeliveryItem,SetItemTarget: int; ApplyToSave: bool,,,,,,,
Action,1993D2A8,EnvWeatherArea,WeatherAreaLand: str,,,,,,,
Action,19BA4B1E,SelectWherearenOtgSickCustomer,,,,,,,,
Action,19D516AF,PublicWorksUpdate,,,,,,,,
Action,1A24F4B5,UIMapSelectHandling,,,,,,,,
Action,1A685412,NpcKKFesJoinOpenMessage,MessageID: str,,,,,,,
Action,1A80A67F,UIStampRallyMuseumFromStampRackHandling,,,,,,,,
Action,1B112233,ResumeSharePlayCtrlCheck,,,,,,,,
Action,1B3F8353,PlayerOpenInsectGetMessage,,,,,,,,
Action,1B563911,SetTagFromSystem,TagType: str; SetTagType: str; TagID: int; Value: int; AccessKey: str,,,,,,,
Action,1B5C1FA8,SaveVersionConvert,,,,,,,,
Action,1C0AF1B2,UIExchangePokiHandling,,,,,,,,
Action,1C1AC993,SystemFaderRelease,,,,,,,,
Action,1C9A3422,SetMoveOutPlayer,,,,,,,,
Action,1C9B38D2,CancelTodayVisitorNpc,,,,,,,,
Action,1CF6577E,UIVersionGuideAppear,InType: str; Mount: str,,,,,,,
Action,1D124B8B,UIPrologueBGAppear,,,,,,,,
Action,1D4EABD1,PynCalcExchangeEggNum,,,,,,,,
Action,1D508CCA,ChangeSeaWeather,ChangeFrameA: int; ChangeFrameB: int; ChangeFrameC: int; ChangeFrameD: int; ChangeFrameE: int; ChangeFrameF: int,,,,,,,
Action,1DD750C9,SzaPlayMelody,,,,,,,,
Action,1DEC942B,UIWherearenIslandsMsgPhotoDisappear,,,,,,,,
Action,1E2F5296,WherearenSetTagHousemateNpcName,ID: int,,,,,,,
Action,1E57A1D3,UISaveIconDisappear,,,,,,,,
Action,1E57B9DE,WherearenGalleryWatchItem,TagID: int,,,,,,,
Action,1E5E8E55,NetWherearenDeleteOpusData,,,,,,,,
Action,1EBEE8D5,InsectFishBoxSellDone,Rate: float,,,,,,,
Action,1F22B7ED,NpcEnterDoor,HoldOpen: bool,,,,,,,
Action,1FB5FA53,BGMPropertyControl,BGMProperty: int,,,,,,,
Action,1FC43D6E,SetGetCandyTime,,,,,,,,
Action,202E4467,BuildStructure,StructureType: str; StructureBuildPosType: str; StructureBuildTiming: str,,,,,,,
Action,202F30EB,NpcRumorDecideTopic,TopicSelectType: str,,,,,,,
Action,204661B9,CmlTagSet,Param0: int; Param1: int; Param2: int,,,,,,,
Action,206151B1,PlayerSetAllVisible,Visible: str,,,,,,,
Action,20DDEF69,TkkLivePlayerClapping,EndClapping: bool,,,,,,,
Action,20FD89AC,SetDeliveryQuestInfo,,,,,,,,
Action,2106A84D,CmlSelectWallFloor,CmlItemKind: str,,,,,,,
Action,2109D2BC,StartMeasurePlayTime,Type: str,,,,,,,
Action,214A42BE,TkkFirstLiveEmoticcon,Reaction: str; Frame: int,,,,,,,
Action,214FD6EA,CameraForWallHangingMyDesign,,,,,,,,
Action,219693D7,SetTagMoveOutAccountName,Id: int,,,,,,,
Action,2199C585,DownMoneyCapacity,,,,,,,,
Action,21A268B0,PlayerForceLookAtDemoPartnerNpc,Switch: int,,,,,,,
Action,21C14ABC,UIAtmHandling,BootMode: int,,,,,,,
Action,2243AE6E,ReserveDemoFtrAction,,,,,,,,
Action,22846A11,NpcSetRewardRecipe,ItemUniqueId: int; DIYNpcItem: bool,,,,,,,
Action,2285AC0A,MncWarpTakeOrderPos,,,,,,,,
Action,229F7D21,UnlockRoomSketchItem,,,,,,,,
Action,22B72781,OnEndWherearenCompleteDemoCamera,,,,,,,,
Action,22CBF5D9,SetSurpriseMoveSetting,,,,,,,,
Action,2302AF7B,UIPortfolioPromotionToSetting,,,,,,,,
Action,23058916,SetEasterExchangeEgg,,,,,,,,
Action,231EA11E,UploadProfile,IsSkipError: bool; IsForce: bool,,,,,,,
Action,235D0625,SetBirthdayVillagerName,Target: int; TagID: int,,,,,,,
Action,23680BAC,CollisionWherearenAirWall,IsEnable: bool,,,,,,,
Action,23C60F1F,NetUploadLifeTips,IsForce: bool; SkipError: bool,,,,,,,
Action,23EB467F,UIWherearenInspectCommunicateResultSet,IsSuccess: bool,,,,,,,
Action,243B56B7,SetTagMainPlayerName,TagType: int; TagId: int,,,,,,,
Action,244442CC,NetWherearenSearchOpusList,Type: str,,,,,,,
Action,244B6AFD,NetMoveStartWait,,,,,,,,
Action,2465B1E4,UIFullScreenCaptureFaderCreate,,,,,,,,
Action,248C4AC5,UpdateNpcUsuallyTops,Target: str,,,,,,,
Action,24A8DF13,StopMeasurePlayTime,Type: str,,,,,,,
Action,24C52C14,SetTukSecretRewardItem,,,,,,,,
Action,24D762FB,UIShopMoneyDisappear,,,,,,,,
Action,25265171,SoundFade,FadeHandleId: int,,,,,,,
Action,25396532,SelectMoveOutNpcRandom,,,,,,,,
Action,25605959,UIWherearenInspectListAppear,,,,,,,,
Action,25612A48,PlayerEndLookDown,,,,,,,,
Action,25838C9A,ChangeWherearenWorkMode,IsEnd: bool; IsUsePerfomance: bool,,,,,,,
Action,260A6D52,UIStampRallyMuseumFromOwlHandling,CardType: str,,,,,,,
Action,261DEA33,ServiceMotionControl,CanServiceMotion: bool,,,,,,,
Action,263EDA97,ChangeAmiiboNPC,Kind: str,,,,,,,
Action,26EAB999,SetTreasureFindState,,,,,,,,
Action,26FA57EA,SoundFadeOutDuckingOff,,,,,,,,
Action,270B60B8,SaveGrowUp,GrowUpSituation: str,,,,,,,
Action,270C8C83,SaveStartRestoreSeq,,,,,,,,
Action,277AD1C7,PlayerHalloweenTricked,,,,,,,,
Action,27E546B6,PlayerBirthdayScheduleEnd,,,,,,,,
Action,2856C53D,RequestRecreateFtr,,,,,,,,
Action,2867D8F9,PlayerHouseRestore,,,,,,,,
Action,28A787BA,FtrOpenMessageBromideMotto,,,,,,,,
Action,28D09682,AcceptFlowSwitchTag,,,,,,,,
Action,2A4F55D4,PlayerWorkbenchPutaway,IsRemake: bool,,,,,,,
Action,2A7F641A,UIPhotoCameraHandling,Mode: str,,,,,,,
Action,2AB59BA5,EditSceneBGMEnd,,,,,,,,
Action,2AB81DED,DecideOpenCraftRecipe,CraftRecipeOpenType: str,,,,,,,
Action,2ADEE51B,MakeVisitPRoomInfo,,,,,,,,
Action,2B8B3CE7,TkkRequestSongSet,SelectSongMethod: str; SelectFeelType: str,,,,,,,
Action,2BF55A9D,PlayerWorkbenchGetDemo,IsSkipGetDemoCameraPop: bool; IsSkipFanfareSE: bool; IsRemake: bool,,,,,,,
Action,2BF7272F,UIPortfolioPromotionAppear,,,,,,,,
Action,2C03C14B,PlayerPlayPutawayWaitAnimation,,,,,,,,
Action,2C7E8216,UIMyDesignExchangeListHandling,,,,,,,,
Action,2CD19336,NpcRumorTagSet,,,,,,,,
Action,2D3FDA89,PlayerPutawaySmoothie,,,,,,,,
Action,2D419DA2,WherearenSetTagRunningOrderTheme,GetFrom: str; TagID: int; FacilityType: str,,,,,,,
Action,2D6C38AA,NetMoveSessionSearch,,,,,,,,
Action,2D8AF324,UIMyDesignExchangeFavoriteHandling,,,,,,,,
Action,2DC50673,MessageUnlockNext,,,,,,,,
Action,2DCBEE84,DisappearChatBaloon,BaloonType: str,,,,,,,
Action,2DD1E736,UIPortfolioPromotionReManipulateAndWait,,,,,,,,
Action,2DD74360,ReconnectPlayerVIllager,ReconnectPlayerVillager: str,,,,,,,
Action,2E11C58C,SetRecoverySaveChoice,,,,,,,,
Action,2E2B5974,UIMelodyEditHandling,,,,,,,,
Action,2E43F21B,UIPhotoIslandInteriorEditGuideOff,,,,,,,,
Action,2E485D5F,SystemDeletePlayerItem,DeleteType: str; DeleteNum: int,,,,,,,
Action,2E94CAB1,UIMainMenuSetInvalidFrame,SetFrame: int,,,,,,,
Action,2F216431,WrapDeliveryItem,WrappingType: str,,,,,,,
Action,2F3E8F6D,SetEventFlagAttendJuneBrideDemo,,,,,,,,
Action,2F6C2B40,UICustomHomeHandling,SelectType: str,,,,,,,
Action,2F821A18,SetMoneyBoxAmount,EntryVariableKeyInt_AmountMoney: str,,,,,,,
Action,2F9F7922,HgcSetOutfit,,,,,,,,
Action,2FBBAD09,UIMelodyEditCreate,,,,,,,,
Action,2FED749C,AddMuseumCafeTalkCount,,,,,,,,
Action,303D4520,UIRecoverySaveDataHandling,,,,,,,,
Action,30593158,SaveRemove,Process: str,,,,,,,
Action,30A121B8,SetBridgeSlopeKitToPlayerBaggage,ItemType: int,,,,,,,
Action,30C5FA7A,SetBirthdayPToldlPartySharePlayFlag,,,,,,,,
Action,30E2B14A,NpcAISetRequestSpeakFunc,SpeakType: str; IsPlayingWithOther: bool,,,,,,,
Action,3136608C,PlayerLanding,,,,,,,,
Action,31391B9F,NpcSetNicknameToTag,From: str,,,,,,,
Action,3171D63E,NpcAISetPos,SetPosX: float; SetPosZ: float; SetAngle: float; IsUseCreateOffset: bool; isUseEventPlazaOffset: bool,,,,,,,
Action,319599A4,NpcSetLastLandWord,,,,,,,,
Action,3255A17C,WherearenResumeOrder,,,,,,,,
Action,327F71F1,ChangeAddressUnfinishMail,,,,,,,,
Action,3284A75F,MoveIntoLandForSale,,,,,,,,
Action,32E21071,WherearenSetFirstCustomerInfo,ID: int,,,,,,,
Action,33351A48,NpcSelectFreeTalk,StartType0: str; StartType1: str; StartType2: str; StartType3: str; MessageID0: str; MessageID1: str; MessageID2: str; MessageID3: str; IsCheckAttr: bool,,,,,,,
Action,3358F3DC,SaveUploadBackup,,,,,,,,
Action,33639EC4,RcoStandUpChair,,,,,,,,
Action,336D00B1,PrepareSharePlayEntry,,,,,,,,
Action,34B6CFFB,CountdownRctManualChoice,,,,,,,,
Action,359BF7EE,ChangeEditMode,,,,,,,,
Action,35D69C64,NpcDeleteBuyFtr,,,,,,,,
Action,36406CCC,DeleteSelectUIItem,DeleteNum: int,,,,,,,
Action,36BB0FA0,UIMyDesignSelectHandling,Mode: int; Category: int; UsageType: int; Author: int; Holder: int,,,,,,,
Action,36C549EC,SetDemoTalkTurnRate,Rate: float,,,,,,,
Action,36E40D0B,EndManDustClothEffect,,,,,,,,
Action,371E2578,PlayerChairSitdownTurn,TurnDirection: str,,,,,,,
Action,37489ABC,CandNicknamePattern,,,,,,,,
Action,37522920,WaitSpecialDemoEnter,Type: str,,,,,,,
Action,375BF713,UIConstructionPortfolioAppear,,,,,,,,
Action,377D1CC0,UIFullScreenCaptureFaderAppear,,,,,,,,
Action,379F774E,ReturnStage,NextInfoKey: str; FadeOutKindString: str; FadeInKindString: str; FadeColorString: str; FadeOutSpeed: float; FadeInSpeed: float,,,,,,,
Action,38484B60,UIFutureMsgCardHandling,,,,,,,,
Action,38552F9D,NetCreateSessionVillage,Type: str,,,,,,,
Action,386825D0,WherearenSetShopTailorClothType,ClothType: str,,,,,,,
Action,38F45A79,NetMeasureBitRate,,,,,,,,
Action,390F606F,SnpcSetAllVisible,NpcLabel: str; Visible: bool,,,,,,,
Action,399A30ED,FoxItemCheck,,,,,,,,
Action,39A66E1F,ShopBuyDone,UseTailorTicket: bool; Set5: bool; Flag1: bool; Flag2: bool,,,,,,,
Action,39DAF2B1,EventFlagOn,AccessKey: str,,,,,,,
Action,39F7244A,WherearenCustomerEntrySubCast,CastID: int; IsFirstCustomer: bool; IsSecondCustomer: bool; IsHousemate: bool; IsResumeCustomer: bool; IsResumeHousemate: bool,,,,,,,
Action,3A5555DF,NpcSetAIBlackBoard,Key: str; Value: int,,,,,,,
Action,3A6398E1,SetPlayerNameCallCamperNpc,,,,,,,,
Action,3A81BEEC,UIMyDesignFireworksHandling,,,,,,,,
Action,3AE6B98B,SetInvitePlayerName,,,,,,,,
Action,3B2B0154,NpcPastDaysFromLastTalkDateToTag,,,,,,,,
Action,3BA74A59,ReturnStageForDreamEnd,FadeOutKindString: str; FadeInKindString: str; FadeColorString: str; FadeOutSpeed: float; FadeInSpeed: float,,,,,,,
Action,3BD1C322,PlayerForceOffSharePlaySubIcon,Visible: str,,,,,,,
Action,3C2DA94F,SetBcatProcess,,,,,,,,
Action,3C7C59D8,EventFlagOnAllLiver,AccessKey: str,,,,,,,
Action,3CF6FA32,RequestSimple,AsCommand: str; WaitFinish: bool,,,,,,,
Action,3D4D35A0,BaggageToLostItemBox,,,,,,,,
Action,3D552274,NpcQuitMoveOutProposal,,,,,,,,
Action,3D5FC935,TkkLiveNpcStandUp,,,,,,,,
Action,3DADC6B0,TkkFreeAction,TkkActionType: str,,,,,,,
Action,3DC14819,NetReturnFromDream,,,,,,,,
Action,3E0E59D0,UIWherearenInspectListWaitManipulate,,,,,,,,
Action,3EBDE798,FinishMoveIn,,,,,,,,
Action,3EF198E7,PlayerStartAnimeBedWaitWithHandsClasped,,,,,,,,
Action,3F660D3C,SystemJudgeHighAndLowResult,Select: str,,,,,,,
Action,3FB10137,NetUploadDream,,,,,,,,
Action,40175BB8,ControllerConnectEnd,IsNormalEnd: bool,,,,,,,
Action,4085C300,PlayerWaitTurn,,,,,,,,
Action,40EFBD0A,HghSetTagMannequinItem,,,,,,,,
Action,4180764E,GetGymnasticsEmoticon,,,,,,,,
Action,41AFF68C,WarpPlayerBirthdayHouse,EntryVariableKeyFloat_TargetX: str; EntryVariableKeyFloat_TargetZ: str; EntryVariableKeyFloat_MiddleTargetX: str; EntryVariableKeyFloat_MiddleTargetZ: str,,,,,,,
Action,4226E3C3,UIGuideBalloonWeddingParty,GuideType: int,,,,,,,
Action,42476725,UIConstructionPortfolioReSelection,,,,,,,,
Action,424BD28A,PlayerRequestLookDoneEditing,,,,,,,,
Action,43373E5A,SpecialDemoEnd,Kind: str,,,,,,,
Action,433B08DB,StartAnimation,ActionName: str; ActionType: str,,,,,,,
Action,4396D81F,SetDeliveryClothInfo,ClothType: int,,,,,,,
Action,43CB72C1,UIMessageWindowForPocket,,,,,,,,
Action,43F31147,WeddingBGMStart,,,,,,,,
Action,4429701D,EmoticonTalkMessage,,,,,,,,
Action,44544CB9,SeoReaction,ReactionType: str,,,,,,,
Action,4483F3B7,SetMemoryEventLand,AccessKey: str,,,,,,,
Action,44C76EA5,SoundTriggerEmit,AssetKeyName: str; FadeHandleId: int,,,,,,,
Action,452BD536,SleepInsect,SleepInsectType: str,,,,,,,
Action,457CB7F5,UIWherearenPhotoFirstEntryAppear,,,,,,,,
Action,45DCA8ED,SetWherearenFacilityDefaultParts,,,,,,,,
Action,45E12337,SetControllerStyle,ControllerStyle: int,,,,,,,
Action,460BCD01,PlayerBirthdayStartBGM,,,,,,,,
Action,46A20E03,PokiCountDown,Money: int; Reverse: bool,,,,,,,
Action,46B9F3CC,TurnOnForceMaxVolumeForAudioMusic,,,,,,,,
Action,46F0E4B1,SetSettlerQuestInduceNpc,,,,,,,,
Action,47270CB5,PlayerPutawayFish,,,,,,,,
Action,47840CBA,AfterPartyBGMEnd,,,,,,,,
Action,47C53626,UIDateHandling,DateInputType: str,,,,,,,
Action,484F4975,PlayerMoveToTarget,PosIsOffset: bool; TargetX: float; TargetZ: float; MiddleTargetX: float; MiddleTargetZ: float; UseStateAfterWait: bool; StateAfterWait: str,,,,,,,
Action,486722A8,FtrSetTagBromideInfo,,,,,,,,
Action,486F2879,SetPlayReporterBptTelling,FortuneTelling: str; Exorcise: bool; Magic: bool,,,,,,,
Action,48932243,SloSellWeed,,,,,,,,
Action,48C4E6A8,SaveListDownloadableBackupInfo,,,,,,,,
Action,48D41FDA,CmlBuyDone,Size: int,,,,,,,
Action,494CB785,UICatalogRestartHandling,IsSent: bool,,,,,,,
Action,49F7BE22,UIMenuDeviceAppear,EventType: str; Application: str,,,,,,,
Action,4A3346CD,PlayerDemoMove,Direction: str; Distance: int,,,,,,,
Action,4A97E7C3,WherearenResetGradeUp,,,,,,,,
Action,4AFEBEE4,SetupSharePlay,IsAfterRollback: bool,,,,,,,
Action,4B7118AB,NatteeCatalogMailSend,,,,,,,,
Action,4BAE373D,UIBoardHandling,,,,,,,,
Action,4C2F9C7B,BptAddFriendShip,Friendship: int,,,,,,,
Action,4C754319,SaveRegisterBackupAgent,,,,,,,,
Action,4C8BFF6A,NpcTreasureToDust,,,,,,,,
Action,4CF780E4,SystemMailSendVillager,FromType: str; FileIndex: str; LabelIndex: int; TagType: str; Route: str; Present: str,,,,,,,
Action,4D011CB7,SmartPhoneSE,ActionType: int; XLinkKey: str,,,,,,,
Action,4D288353,DeleteMuseumCafeAmiiboNpc,,,,,,,,
Action,4D953E3B,PlayerWorkbenchMaking,IsRemake: bool,,,,,,,
Action,4DB09FBA,UIPortfolioPromotionWaitManipulate,,,,,,,,
Action,4DB2EEB7,SelectFreeBFurnitureFurniture,,,,,,,,
Action,4DD7E349,WaitFadeMinimumCount,,,,,,,,
Action,4E0BA02F,SetHideObjectVisible,,,,,,,,
Action,4E775EF2,SelectFreeCFurnitureFurniture,SelectType: int,,,,,,,
Action,4E9701B1,SetMemoryEventPlayerWherearenParty,WherearenPartyType: int,,,,,,,
Action,4EA28E9E,MuseumCafeCreateTakeoutNpc,,,,,,,,
Action,4EC94B55,SoundEmitMuseumCafeDoorBell,,,,,,,,
Action,4FB5A691,HghSetMannequinSelectItem,Select: int,,,,,,,
Action,4FC338CB,UnlockWherearenPartyItem,,,,,,,,
Action,5000F829,NetReplyDream,Kind: str,,,,,,,
Action,502F0CF7,SystemBGMVolumeReset,FadeSec: float; FadeCurveType: int; DelaySec: float,,,,,,,
Action,50850960,PlayerToolPutaway,,,,,,,,
Action,50A4E7CD,UISoftwareKeyboardFacilitiesNameHandling,Type: int; IsClearString: bool,,,,,,,
Action,5137E461,NetSendMailAfterFailProc,,,,,,,,
Action,517DFD9A,RegistToReleaseItemList,Route: int,,,,,,,
Action,518FA04A,UIWherearenInspectFootPrintAllClear,,,,,,,,
Action,51A721E3,SaveSwitchMovedOneToVillager,,,,,,,,
Action,51D46C13,GstDecideReward,"ItemGroup: enum[Furniture,Wallpaper,Flooring,Clothing]; PriceTop: int; PriceBottom: int; NotCollect: bool",,,,,,,
Action,51E1906A,SetTalkedRoomStateBit,RoomState: str,,,,,,,
Action,5233E4D1,SetupActorPosition,Type: int,,,,,,,
Action,5257FD40,NetEnterVillage,,,,,,,,
Action,5312D365,PartyBGMStart,,,,,,,,
Action,53300D44,LookAtPos,LookAtType: int; PosX: float; PosY: float; PosZ: float,,,,,,,
Action,533D7074,WherearenResortStudyOutput,,,,,,,,
Action,5398FDAE,UISaveIconAppear,,,,,,,,
Action,53BC4023,SetEnableDofFadeForDream,,,,,,,,
Action,53C61801,SystemReenterStage,Type: int; FadeOutKindString: str; FadeInKindString: str; FadeColorString: str; FadeOutSpeed: float; FadeInSpeed: float,,,,,,,
Action,53DEBD6B,StructureMoveSaveIndex,IndexType: int,,,,,,,
Action,541FA7EB,SetDeliveryItemApplySave,,,,,,,,
Action,542FB0BB,NpcEventItemSet,ItemUniqueId: int; InsertTarget: str; TagID: int; EntryVariableKeyInt_ItemPrice: str,,,,,,,
Action,54532083,ManWarpToLog,,,,,,,,
Action,545F8231,UIFacilityRoomNameAppear,,,,,,,,
Action,54644F71,UISpeakMoneyBox,,,,,,,,
Action,5466B083,PlayerWarpPosCommune,SetPosX: float; SetPosZ: float; SetAngle: float,,,,,,,
Action,54690C10,RequestCompleteDemoBGMDucking,,,,,,,,
Action,548E3E04,DecideSettlerNpc,SettlerType: int,,,,,,,
Action,54BADDF7,UIAudioHandling,,,,,,,,
Action,54E95C02,MountAoC,,,,,,,,
Action,54F78E75,SystemDecideFaceCard,GameType: str,,,,,,,
Action,559F0B53,ReserveNpcCommand,Command: str,,,,,,,
Action,55B55234,PrepareCommuneDecoFortuneDisplayContent,DisplayType: str,,,,,,,
Action,55BF0242,UIThemeAppear,ThemeType: str,,,,,,,
Action,55D57CBE,CancelSharePlayEntry,,,,,,,,
Action,55EB227A,NpcPlayReport,NpcPlayReportKind: str; Num0: int,,,,,,,
Action,55ECB2A5,NpcSetFishExchangeWantItem,,,,,,,,
Action,55FFC0AD,UISonkatsuPointAppear,,,,,,,,
Action,562A8627,WherearenSetNpcOrderFreeTheme,,,,,,,,
Action,566087A4,NextLPFadeTime,FadeSec: float,,,,,,,
Action,573CCDF5,NpcSetVisibleAction,Visible: bool,,,,,,,
Action,576D189C,CeremonyEmoticonSit,Reaction: str; Frame: int,,,,,,,
Action,57A661FE,SaveRegisterMoveInPlayerBuffer,,,,,,,,
Action,57D7C0BB,PlayerWarp,WarpType: int,,,,,,,
Action,57FCC60D,ChmFreeAction,ChmActionType: str,,,,,,,
Action,58322542,SetExpensiveReguretion,,,,,,,,
